"X","name","subtype","length","country","continent","subcluster"
654,"A.AO.2009.09AOHDP169.KF853640","A",905,"ANGOLA; REPUBLIC OF","AFRICA",5
655,"A.AO.2009.09AOHDP200.KF853652","A",902,"ANGOLA; REPUBLIC OF","AFRICA",5
653,"A.AO.2009.09AOHDP294.KF853708","A",905,"ANGOLA; REPUBLIC OF","AFRICA",5
652,"A.AO.2009.09AOHDP296.KF853709","A",889,"ANGOLA; REPUBLIC OF","AFRICA",5
651,"A.AO.2009.09AOHDP64.KF853731","A",900,"ANGOLA; REPUBLIC OF","AFRICA",3
650,"A.AO.2009.09AOHDP92.KF853746","A",905,"ANGOLA; REPUBLIC OF","AFRICA",42
678,"A.AU.-.WM1408.AY580066","A",864,"AUSTRALIA","OCEANIA",42
583,"A.BE.1998.649.AY901286","A",990,"BELGIUM","EUROPA",42
605,"A.BE.1998.650.AY901287","A",962,"BELGIUM","EUROPA",42
527,"A.BE.1998.651.AY901288","A",1013,"BELGIUM","EUROPA",42
618,"A.BE.1999.877.AY901495","A",940,"BELGIUM","EUROPA",42
604,"A.BE.2000.659.AY901296","A",964,"BELGIUM","EUROPA",42
602,"A.BE.2000.673.AY901310","A",948,"BELGIUM","EUROPA",42
603,"A.BE.2001.663.AY901300","A",952,"BELGIUM","EUROPA",42
792,"A.BE.2001.666.AY901303","A",705,"BELGIUM","EUROPA",42
578,"A.BE.2001.878.AY901496","A",982,"BELGIUM","EUROPA",42
601,"A.BE.2001.887.AY901505","A",955,"BELGIUM","EUROPA",42
725,"A.BE.2001.888.AY901506","A",772,"BELGIUM","EUROPA",42
530,"A.BF.2010.B1-007-NICE-J0.KU684973","A",1015,"BURKINA FASO","AFRICA",42
770,"A.BJ.1997.BJCS147.AF184387","A",737,"BENIN","AFRICA",42
746,"A.BJ.1997.BJCS155.AF184347","A",760,"BENIN","AFRICA",42
760,"A.BJ.1997.BJCS156.AF184388","A",742,"BENIN","AFRICA",42
750,"A.BJ.1997.BJCS157.AF184399","A",757,"BENIN","AFRICA",42
743,"A.BJ.1997.BJCS36.AF184397","A",761,"BENIN","AFRICA",42
952,"A.BJ.1997.BJGP1090.AF184378","A",638,"BENIN","AFRICA",42
797,"A.BJ.1997.BJGP701.AF184403","A",710,"BENIN","AFRICA",42
197,"A.BJ.2009.D375T_J0.HQ267661","A",1609,"BENIN","AFRICA",42
928,"A.BJ.2017.BEN169.MT022887","A",647,"BENIN","AFRICA",42
222,"A.CA.-.BCCFE_HOMER_HIV_GAG_2983.EU242040","A",1447,"CANADA","AMERICA",42
2,"A.CD.1987.P4039.MH705157","A",9686,"CONGO; DEMOCRATIC REP.","AFRICA",42
139,"A.CD.1997.KMST91.OP156717","A",1794,"CONGO; DEMOCRATIC REP.","AFRICA",42
122,"A.CD.1997.KTB16.OP156667","A",1809,"CONGO; DEMOCRATIC REP.","AFRICA",42
894,"A.CD.1998.pATieT_98CG861.AJ630516","A",671,"CONGO; DEMOCRATIC REP.","AFRICA",44
955,"A.CD.1998.pATieT_98CG879.AJ630530","A",637,"CONGO; DEMOCRATIC REP.","AFRICA",44
902,"A.CD.1998.pATieT_98CG906.AJ630548","A",667,"CONGO; DEMOCRATIC REP.","AFRICA",54
838,"A.CD.1998.pATieT_98CG912.AJ630552","A",683,"CONGO; DEMOCRATIC REP.","AFRICA",54
939,"A.CD.2002.02DC_KP042.AJ877600","A",646,"CONGO; DEMOCRATIC REP.","AFRICA",53
